"id","impl_aggregation_id","core_datacast_identifier","created_at","updated_at"
1,1,"3bbcb2a3eae75c99fa033a51991fafadcd1b94fc3c0b7fa82750fb43d8f297d82f","2015-11-27 21:35:33.109178","2015-11-27 21:35:33.109178"
2,1,"7dd72d3ddafcd05e34da0aa9f17c796971675a54e88d6fed86ab6b4bd1648efb4e","2015-11-27 21:36:43.53414","2015-11-27 21:36:43.53414"
7,2,"1a08e1be9ff9bbb728521df12cb86bd8ab95d510d37fcf37e8d529b8e3b75e98d5","2015-11-27 21:39:35.855367","2015-11-27 21:39:35.855367"
8,2,"fb4310caf6b7f5a8e1e6a4bf50617e1a45dfac8d0b01c7c20d8287f6833477b998","2015-11-27 21:39:35.897428","2015-11-27 21:39:35.897428"
9,2,"99c1e6eeda0363af1f368e07efcc6c0e5a214d57491a4946142e8f1c406bd313c8","2015-11-27 21:39:35.966055","2015-11-27 21:39:35.966055"
10,2,"0f2396966c9c652c83d20cd4202c1f853af22660ee78a26b7f03ee029ce3b94fcd","2015-11-27 21:39:36.015909","2015-11-27 21:39:36.015909"
12,2,"8a8e60211b3a0c21b7da1ec8fb9a7c0226387e7675f90b0db563d657fd2ff678a6","2015-11-27 21:39:36.047047","2015-11-27 21:39:36.047047"
14,2,"a59199bdcfad527f2eed63d0547d882f55cb760566e1d6f504bc8536c2af7cfff5","2015-11-27 21:39:36.080028","2015-11-27 21:39:36.080028"
16,2,"18c5d7d95df770981610525a08b730bfcf7778cacbad227e5ff12e16555ca17d50","2015-11-27 21:39:36.138961","2015-11-27 21:39:36.138961"
18,2,"73a218cfeeafbc4db46bca62340d9e931da4fa6b959629cece30dc531f0ccfba5a","2015-11-27 21:39:36.207447","2015-11-27 21:39:36.207447"
19,2,"99ebeedda23ca7cb05e5abe18a5052f2c85fd493e5499906de45062fcfcec2254a","2015-11-27 21:39:36.239385","2015-11-27 21:39:36.239385"
236,115,"3c62308f88f969b13c3b9b6bcdbbfc50fdb9ba5054457e0cbbde6aa0778df9ccc6","2015-11-27 21:43:53.057147","2015-11-27 21:43:53.057147"
237,115,"cc7a41ca9ed032bd1ca2cb27c0203caf36b91281f4c24aab63a4b1581339ca3312","2015-11-27 21:43:53.110713","2015-11-27 21:43:53.110713"
238,115,"0e1fe71da2a2ba9af02daf8d4d61e936e0cf27b3101f043fb5f2ec87571e2b4b66","2015-11-27 21:43:53.1447","2015-11-27 21:43:53.1447"
239,115,"c4105dc910223ff8e2ddcd9d070b863d619938c12687a739f6d34fd5746f964b9d","2015-11-27 21:43:53.207276","2015-11-27 21:43:53.207276"
598,200,"4dd4616b899b26cd0baee3b36fe448447ae7de88add0620cd86e7779dc929717b5","2015-11-27 21:56:19.102501","2015-11-27 21:56:19.102501"
601,200,"5370762d83109fa699f63883d7cb9d11430a2ce25ae3d226482081f9342b3a1d9f","2015-11-27 21:56:19.135934","2015-11-27 21:56:19.135934"
604,200,"c3c1b9ef811f22f8159ab2be4c06e20a2ec427ce0ef39b4b2b80cdd9a29b311967","2015-11-27 21:56:19.169391","2015-11-27 21:56:19.169391"
607,200,"f06969f18839aaca40017b53b598f9bef4a0a8ca00ad27839ef4e3c81233bb6bce","2015-11-27 21:56:19.202926","2015-11-27 21:56:19.202926"
608,200,"94fecc0653bd77289ef8bfa9497c4fa64a5a42349fc3911cca799119fb329e745c","2015-11-27 21:56:19.236265","2015-11-27 21:56:19.236265"
609,200,"4346a8385b21a9beab64d73cb462b580f3a53b0738091815e8c91677239afdd9d5","2015-11-27 21:56:19.270504","2015-11-27 21:56:19.270504"
610,200,"8a64f0c9aa5c883b885ec890e837abf5f4bd7021c99948ea7f17fe986b47c693ca","2015-11-27 21:56:19.295552","2015-11-27 21:56:19.295552"
611,200,"f78cf0df68b9a39e5be5fbf207472c9647a0b28562e64919203a7130b7bfe50b0e","2015-11-27 21:56:19.328347","2015-11-27 21:56:19.328347"
612,200,"f47fb0a893760a2fe5a76b20bd55d21e06ba35a1adeea91f4e8f5398c0f11f717d","2015-11-27 21:56:19.361536","2015-11-27 21:56:19.361536"
2353,631,"fd3a5e600826e6594d3411856cf19024196552831f24ba54897c87e81050635c3c","2015-12-02 14:15:21.969326","2015-12-02 14:15:21.969326"
2355,631,"d0bc87ac7eb9034d02b9f93da3da73edba0bb8aa48dd14ad2f2596d0725eebe454","2015-12-02 14:15:22.011343","2015-12-02 14:15:22.011343"
2357,631,"acfd86b98faac9de48ae7736ef381bee7621c31980424881fe605c5cf2e4d64482","2015-12-02 14:15:22.048861","2015-12-02 14:15:22.048861"
2359,631,"0178db79490a4da11e6c6ac8aeaf3b439af2c454d9c6711a413213b7d751796b5e","2015-12-02 14:15:22.082283","2015-12-02 14:15:22.082283"
3179,115,"7a27ebb33c6f42d341f9e8439b6587440e6e0bb79ccd47573f1b23b3565058e04a","2015-12-08 07:53:57.94992","2015-12-08 07:53:57.94992"
3180,115,"461a6a5e988a84cc176b509a815d202d18b7ae02e0dbd8713b400cf169a6131827","2015-12-08 07:53:58.126909","2015-12-08 07:53:58.126909"
3181,115,"d0ec97735610e5320c44703decc4dbd78d627a8fa0b0045d5495ff94f497f1cf54","2015-12-08 07:53:58.175335","2015-12-08 07:53:58.175335"
3878,631,"e87a65fdf8585273e3512a0e82c75b894f50e5be2593e388f689d89a17e9ef7c3c","2015-12-09 14:34:46.899084","2015-12-09 14:34:46.899084"
3880,631,"52577424eaf51a93f507b527e608aaee78e7090a2fc3d229aa37688bb164de4b6c","2015-12-09 14:34:46.932831","2015-12-09 14:34:46.932831"
3881,631,"9d35a217e92ee36ce54ec37ea51d360148b59bddd98a0aa9b85f31352e60b2738a","2015-12-09 14:34:46.97449","2015-12-09 14:34:46.97449"
4185,145,"fffe6d577bb549e96af5bf8741df6146f2adae09514398fb3e64c241f4edd76244","2015-12-10 09:34:03.35416","2015-12-10 09:34:03.35416"
4186,145,"d01d26b887347e1aa9ede006023b8dec2ff5076f792bbc47965a6ba5de12674447","2015-12-10 09:34:03.515003","2015-12-10 09:34:03.515003"
5793,630,"5e4ec4a6d61c3d568f6ce17abb3f4012a947874718fb11e0f194766e9e15c65164","2015-12-10 21:47:56.39056","2015-12-10 21:47:56.39056"
5798,630,"a3faf4b36f2c3d5fb803aec78d98bbe18aad145954677f3b5c55e615dc1d05d112","2015-12-10 21:47:56.444161","2015-12-10 21:47:56.444161"
5808,630,"0eebf4319f81961c2de9179ecbc8fc3752fe1ae8018e1819d6284513fa2dfc6b1d","2015-12-10 21:47:56.487301","2015-12-10 21:47:56.487301"
5814,630,"944b4e95dbe0d4106cf8ee28ea483692f1ea6e73733d8812d39bbd89ea4750f245","2015-12-10 21:47:56.529481","2015-12-10 21:47:56.529481"
5822,630,"6bdd9bb1c8fcb20bb6d223c3e640ae8d18147ca154fed5dbd4352f05dcef505a6c","2015-12-10 21:47:56.572441","2015-12-10 21:47:56.572441"
6837,1,"9eb886eeec9aae5d5fcb2bbf0159eb296eef73bada4bb9633de603cc5f25ed0722","2015-12-21 23:50:17.347176","2015-12-21 23:50:17.347176"
6838,1,"4bb92c1e930583f59755ed31c4b7428af6b9e3fb13ca09ea6e222bc774e488f17f","2015-12-21 23:50:17.428283","2015-12-21 23:50:17.428283"
6839,1,"aca4f455a12b8543d63ee35b565432c0e7efd5597141411433d00a522aee64434b","2015-12-21 23:50:17.452802","2015-12-21 23:50:17.452802"
6840,1,"89bee22769f631c093cc70817af02f9c110b0196be2dfafedc49b454062dbca66e","2015-12-21 23:50:17.486907","2015-12-21 23:50:17.486907"
6841,1,"71a9f33ec25effdb36e105412ce8f685c227fdf3ad0796d55a889e1c431d742253","2015-12-21 23:50:17.568123","2015-12-21 23:50:17.568123"
6842,1,"33a694b35dbd0b5841205b168cb7f311f82226f0a5bf542fb2eef1dfa10255da0c","2015-12-21 23:50:17.603757","2015-12-21 23:50:17.603757"
6843,1,"ca719241342907b5d25d7d01cd1c23f3a86703180d30c7d441234486ff68aa6044","2015-12-21 23:50:17.628145","2015-12-21 23:50:17.628145"
6844,1,"75592fea3c39bdf91dd1bb45f1e1cf6b3c756a1c84f0a4c8e5d4d55c7e0a683bcc","2015-12-21 23:50:17.653546","2015-12-21 23:50:17.653546"
16344,145,"4b08b931d619d7a49ad4ee98bbf6c2d6bcf15cb7423e7446159ec09f5ed9f767ba","2016-02-27 10:47:02.085877","2016-02-27 10:47:02.085877"
16355,145,"9d2f293aa59d18c32bb013d9d2cf2ae333dba3730a63a045dd4ee28e051d9b040b","2016-02-27 10:47:02.738953","2016-02-27 10:47:02.738953"
16358,145,"f48795dd800307208171e4036ece77bb336c2b9c034455e0f3d12807ad53d31932","2016-02-27 10:47:03.014604","2016-02-27 10:47:03.014604"
16474,1,"131a619910c8ebc20dd59d8e8189db957348443906e2d9322ad2d6abfe08893756","2016-03-04 05:06:56.911829","2016-03-04 05:06:56.911829"
16475,1,"cb556e5e18aa8e9d9e1a0192592b4811c6ad42f71c076f18d36b93f656f8188b28","2016-03-04 05:06:56.939686","2016-03-04 05:06:56.939686"
16476,1,"ededbb3b384bc670ad64aae9730295f799ca0d68debc4c79a7f5325a31f184cb92","2016-03-04 05:06:56.964722","2016-03-04 05:06:56.964722"
16477,1,"f63b6137fa84e1cb35451b42818377f0a483d0d7f976bc9eb06f2c99a10c1636d0","2016-03-04 05:06:56.990015","2016-03-04 05:06:56.990015"
16478,1,"284ffc8cb5b98a1c73f5051826e267dbef3cdbe38543a6361ebc8a66d8c65284e0","2016-03-04 05:06:57.01519","2016-03-04 05:06:57.01519"
16479,1,"f1c4d323b7ad6b08598c0dc10942c3a424a479e2cfa80c2573f0e5de579fd969a1","2016-03-04 05:06:57.040197","2016-03-04 05:06:57.040197"
16480,1,"259477a2c76dd6c332660f085f823d6c358dbc2966f86948a248195ddc7c9fd879","2016-03-04 05:06:57.065159","2016-03-04 05:06:57.065159"
16481,1,"de7f1a413b8e1a26ca60bc62e2ee28f47aa92fde7915b89103910081a50468f71e","2016-03-04 05:06:57.08663","2016-03-04 05:06:57.08663"
